id.S	__typename.S	countOutside.N	createdAt.S	distance.N	distance_left_button_point.N	distance_questionary_point.N	distance_right_button_point.N	dt.N	element.S	epoch.N	height.N	isMouseDetected.BOOL	isPositionOutside.BOOL	isTouchDetected.BOOL	questionID.S	questionaryInteractionID.S	speed.N	speedAverage.N	sumDistance.N	sumTimeMiliseconds.N	sumTimeMilisecondsBeforeNextQuestion.N	type.S	updatedAt.S	width.N	x.N	y.N
9668f405-bdc6-4334-a24f-4c01b409e45d	Interaction	0	2020-12-10T13:41:22.144Z	10.816653826391969	124.00403219250575	251.0019920239678	195.38935487891862	6	questionary	1607607680008	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	1.8027756377319948	0.01901871196438434	190.95020158276785	8640	810	position	2020-12-10T13:41:22.144Z	400	319	521
cd3722c3-2239-4ba8-b143-565d91b1a502	Interaction	0	2020-12-10T13:41:21.114Z	0	203.94361965994426	525.9600745303773	340.57745080965066	5	questionary	1607607671367	0	False	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	0	0	position	2020-12-10T13:41:21.114Z	0	147	505
a1acb904-28e5-414d-9507-566796a1d382	Interaction	0	2020-12-10T13:41:20.283Z	182.8879438344693	133.09395177843356	261.7728022541685	196.7587355112855	805	questionary	1607607679997	561.796875	False	False	True	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0.22718999234095566	0.00010345512316564288	8.06225774829855	7830	0	position	2020-12-10T13:41:20.283Z	400	325	530
f6ba81c7-6ab7-4d85-9b23-0eb1f222fb9e	Interaction	0	2020-12-10T13:41:20.157Z	0	124.00403219250575	251.0019920239678	195.38935487891862	2	questionary	1607607680010	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.15623078317727745	201.7668554091598	8646	816	position	2020-12-10T13:41:20.157Z	400	319	521
76b26c30-e0f2-4c89-93eb-0265016fb363	Interaction	0	2020-12-10T13:41:21.161Z	0	257.9379770409933	258.68320393871727	391.44859177163994	2	questionary	1607607680987	585.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.12522686134040573	415.7037619961253	9623	968	position	2020-12-10T13:41:21.161Z	400	106	541
e2472173-c6a9-4f72-b5a7-474ffbd837b6	Interaction	0	2020-12-10T13:41:19.582Z	0	203.94361965994426	211.74040710265956	340.57745080965066	5	questionary	1607607671372	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	5	5	position	2020-12-10T13:41:19.582Z	400	147	505
7e4f182c-dd4a-46f0-8867-410f1e234b6d	Interaction	0	2020-12-10T13:41:21.136Z	0	211.0781845667619	219.52904135899652	346.63237009835075	3	questionary	1607607679192	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.0001149501368507143	8.06225774829855	7827	7810	position	2020-12-10T13:41:21.136Z	400	143	512
8a00ec72-b32b-4b73-92c5-1b4ecb11dd61	Interaction	0	2020-12-10T13:41:22.160Z	0	203.94361965994426	211.74040710265956	340.57745080965066	5	questionary	1607607671372	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	5	5	position	2020-12-10T13:41:22.160Z	400	147	505
569a8967-ca88-4421-a6a3-ebef8a98e9e1	Interaction	0	2020-12-10T13:41:22.272Z	0	124.00403219250575	251.0019920239678	195.38935487891862	2	questionary	1607607680010	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.15623078317727745	201.7668554091598	8646	816	position	2020-12-10T13:41:22.272Z	400	319	521
3b36791b-7be7-4fe7-befd-4c48239f5711	Interaction	0	2020-12-10T13:41:21.104Z	0	203.94361965994426	211.74040710265956	340.57745080965066	5	questionary	1607607671372	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	5	5	position	2020-12-10T13:41:21.104Z	400	147	505
b3ab2376-50bf-4430-9b91-2238277da4e4	Interaction	0	2020-12-10T13:41:22.253Z	0	203.94361965994426	211.74040710265956	340.57745080965066	4	questionary	1607607671376	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	10	10	position	2020-12-10T13:41:22.253Z	400	147	505
